Day: 2, Living animals: 5, plants number: 4, FreeFields: 91, most popular genotype: 0, Average energy: 19, Average life length: 0
Day: 2, Living animals: 15, plants number: 2, FreeFields: 307, most popular genotype: 0, Average energy: 29, Average life length: 0
Day: 3, Living animals: 16, plants number: 2, FreeFields: 306, most popular genotype: 0, Average energy: 27, Average life length: 0
Day: 3, Living animals: 5, plants number: 6, FreeFields: 89, most popular genotype: 0, Average energy: 18, Average life length: 0
Day: 4, Living animals: 17, plants number: 3, FreeFields: 304, most popular genotype: 7, Average energy: 25, Average life length: 0
Day: 4, Living animals: 16, plants number: 3, FreeFields: 303, most popular genotype: 0, Average energy: 26, Average life length: 0
Day: 5, Living animals: 5, plants number: 9, FreeFields: 87, most popular genotype: 0, Average energy: 16, Average life length: 0
Day: 5, Living animals: 16, plants number: 4, FreeFields: 302, most popular genotype: 0, Average energy: 25, Average life length: 0
Day: 6, Living animals: 19, plants number: 5, FreeFields: 298, most popular genotype: 7, Average energy: 22, Average life length: 0
Day: 6, Living animals: 5, plants number: 10, FreeFields: 87, most popular genotype: 0, Average energy: 15, Average life length: 0
Day: 7, Living animals: 21, plants number: 6, FreeFields: 297, most popular genotype: 7, Average energy: 20, Average life length: 0
Day: 7, Living animals: 16, plants number: 5, FreeFields: 302, most popular genotype: 0, Average energy: 23, Average life length: 0
Day: 8, Living animals: 5, plants number: 13, FreeFields: 83, most popular genotype: 0, Average energy: 13, Average life length: 0
Day: 8, Living animals: 17, plants number: 5, FreeFields: 302, most popular genotype: 0, Average energy: 22, Average life length: 0
Day: 8, Living animals: 22, plants number: 6, FreeFields: 294, most popular genotype: 7, Average energy: 19, Average life length: 0
Day: 9, Living animals: 5, plants number: 13, FreeFields: 82, most popular genotype: 0, Average energy: 11, Average life length: 0
Day: 9, Living animals: 18, plants number: 5, FreeFields: 299, most popular genotype: 0, Average energy: 21, Average life length: 0
Day: 10, Living animals: 26, plants number: 7, FreeFields: 288, most popular genotype: 7, Average energy: 16, Average life length: 0
Day: 10, Living animals: 5, plants number: 15, FreeFields: 77, most popular genotype: 0, Average energy: 10, Average life length: 0
Day: 11, Living animals: 20, plants number: 5, FreeFields: 291, most popular genotype: 0, Average energy: 18, Average life length: 0
Day: 11, Living animals: 28, plants number: 8, FreeFields: 287, most popular genotype: 7, Average energy: 14, Average life length: 0
Day: 11, Living animals: 5, plants number: 17, FreeFields: 77, most popular genotype: 0, Average energy: 9, Average life length: 0
Day: 12, Living animals: 30, plants number: 9, FreeFields: 283, most popular genotype: 7, Average energy: 12, Average life length: 0
Day: 12, Living animals: 21, plants number: 6, FreeFields: 289, most popular genotype: 0, Average energy: 17, Average life length: 0
Day: 13, Living animals: 5, plants number: 17, FreeFields: 76, most popular genotype: 0, Average energy: 7, Average life length: 0
Day: 13, Living animals: 23, plants number: 7, FreeFields: 287, most popular genotype: 0, Average energy: 15, Average life length: 0
Day: 14, Living animals: 32, plants number: 10, FreeFields: 276, most popular genotype: 7, Average energy: 11, Average life length: 11
Day: 14, Living animals: 6, plants number: 18, FreeFields: 72, most popular genotype: 0, Average energy: 6, Average life length: 0
Day: 14, Living animals: 25, plants number: 8, FreeFields: 283, most popular genotype: 0, Average energy: 12, Average life length: 0
Day: 14, Living animals: 32, plants number: 10, FreeFields: 276, most popular genotype: 7, Average energy: 11, Average life length: 11
Day: 15, Living animals: 6, plants number: 19, FreeFields: 74, most popular genotype: 0, Average energy: 5, Average life length: 0
Day: 14, Living animals: 32, plants number: 10, FreeFields: 276, most popular genotype: 7, Average energy: 11, Average life length: 11
Day: 16, Living animals: 25, plants number: 10, FreeFields: 280, most popular genotype: 0, Average energy: 11, Average life length: 16
Day: 17, Living animals: 6, plants number: 22, FreeFields: 72, most popular genotype: 6, Average energy: 4, Average life length: 16
Day: 17, Living animals: 26, plants number: 10, FreeFields: 280, most popular genotype: 0, Average energy: 9, Average life length: 16
Day: 14, Living animals: 32, plants number: 10, FreeFields: 276, most popular genotype: 7, Average energy: 11, Average life length: 11
Day: 18, Living animals: 5, plants number: 23, FreeFields: 73, most popular genotype: 6, Average energy: 3, Average life length: 17
Day: 19, Living animals: 31, plants number: 11, FreeFields: 277, most popular genotype: 0, Average energy: 7, Average life length: 18
Day: 14, Living animals: 32, plants number: 10, FreeFields: 276, most popular genotype: 7, Average energy: 11, Average life length: 11
Day: 20, Living animals: 3, plants number: 26, FreeFields: 70, most popular genotype: 6, Average energy: 3, Average life length: 13
Day: 21, Living animals: 2, plants number: 27, FreeFields: 70, most popular genotype: 0, Average energy: 3, Average life length: 11
Day: 22, Living animals: 28, plants number: 11, FreeFields: 267, most popular genotype: 0, Average energy: 4, Average life length: 13
Day: 22, Living animals: 2, plants number: 28, FreeFields: 71, most popular genotype: 0, Average energy: 3, Average life length: 11
Day: 22, Living animals: 24, plants number: 11, FreeFields: 269, most popular genotype: 0, Average energy: 5, Average life length: 13
Day: 23, Living animals: 2, plants number: 29, FreeFields: 70, most popular genotype: 0, Average energy: 2, Average life length: 11
Day: 22, Living animals: 24, plants number: 11, FreeFields: 269, most popular genotype: 0, Average energy: 5, Average life length: 13
Day: 24, Living animals: 2, plants number: 31, FreeFields: 69, most popular genotype: 0, Average energy: 1, Average life length: 11
Day: 22, Living animals: 24, plants number: 11, FreeFields: 269, most popular genotype: 0, Average energy: 5, Average life length: 13
Day: 25, Living animals: 2, plants number: 32, FreeFields: 70, most popular genotype: 0, Average energy: 1, Average life length: 13
Day: 22, Living animals: 24, plants number: 11, FreeFields: 269, most popular genotype: 0, Average energy: 5, Average life length: 13
Day: 26, Living animals: 1, plants number: 34, FreeFields: 66, most popular genotype: 0, Average energy: 1, Average life length: 13
Day: 22, Living animals: 24, plants number: 11, FreeFields: 269, most popular genotype: 0, Average energy: 5, Average life length: 13
Day: 27, Living animals: 1, plants number: 36, FreeFields: 65, most popular genotype: 0, Average energy: 0, Average life length: 15
Day: 22, Living animals: 24, plants number: 11, FreeFields: 269, most popular genotype: 0, Average energy: 5, Average life length: 13
Day: 2, Living animals: 5, plants number: 4, FreeFields: 91, most popular genotype: 5, Average energy: 19, Average life length: 0
Day: 2, Living animals: 5, plants number: 3, FreeFields: 93, most popular genotype: 3, Average energy: 19, Average life length: 0
Day: 3, Living animals: 5, plants number: 6, FreeFields: 89, most popular genotype: 5, Average energy: 17, Average life length: 0
Day: 3, Living animals: 5, plants number: 5, FreeFields: 89, most popular genotype: 3, Average energy: 17, Average life length: 0
Day: 4, Living animals: 5, plants number: 7, FreeFields: 87, most popular genotype: 3, Average energy: 16, Average life length: 0
Day: 4, Living animals: 6, plants number: 8, FreeFields: 88, most popular genotype: 5, Average energy: 15, Average life length: 0
Day: 5, Living animals: 5, plants number: 9, FreeFields: 87, most popular genotype: 3, Average energy: 15, Average life length: 0
Day: 5, Living animals: 6, plants number: 10, FreeFields: 83, most popular genotype: 5, Average energy: 14, Average life length: 0
Day: 6, Living animals: 5, plants number: 10, FreeFields: 87, most popular genotype: 3, Average energy: 13, Average life length: 0
Day: 6, Living animals: 6, plants number: 12, FreeFields: 81, most popular genotype: 5, Average energy: 13, Average life length: 0
Day: 7, Living animals: 5, plants number: 12, FreeFields: 84, most popular genotype: 3, Average energy: 12, Average life length: 0
Day: 7, Living animals: 7, plants number: 14, FreeFields: 80, most popular genotype: 1, Average energy: 11, Average life length: 0
Day: 8, Living animals: 7, plants number: 16, FreeFields: 76, most popular genotype: 1, Average energy: 10, Average life length: 0
Day: 8, Living animals: 5, plants number: 13, FreeFields: 83, most popular genotype: 3, Average energy: 11, Average life length: 0
Day: 9, Living animals: 5, plants number: 14, FreeFields: 81, most popular genotype: 3, Average energy: 10, Average life length: 0
Day: 9, Living animals: 7, plants number: 17, FreeFields: 75, most popular genotype: 1, Average energy: 9, Average life length: 0
Day: 10, Living animals: 5, plants number: 14, FreeFields: 81, most popular genotype: 3, Average energy: 9, Average life length: 0
Day: 10, Living animals: 7, plants number: 19, FreeFields: 73, most popular genotype: 1, Average energy: 8, Average life length: 0
Day: 11, Living animals: 5, plants number: 15, FreeFields: 77, most popular genotype: 3, Average energy: 9, Average life length: 0
Day: 12, Living animals: 5, plants number: 17, FreeFields: 79, most popular genotype: 3, Average energy: 8, Average life length: 0
Day: 13, Living animals: 4, plants number: 19, FreeFields: 76, most popular genotype: 3, Average energy: 8, Average life length: 13
Day: 14, Living animals: 4, plants number: 20, FreeFields: 76, most popular genotype: 3, Average energy: 8, Average life length: 13
Day: 15, Living animals: 4, plants number: 21, FreeFields: 76, most popular genotype: 3, Average energy: 6, Average life length: 13
Day: 16, Living animals: 4, plants number: 22, FreeFields: 76, most popular genotype: 3, Average energy: 5, Average life length: 13
Day: 17, Living animals: 4, plants number: 23, FreeFields: 78, most popular genotype: 3, Average energy: 4, Average life length: 13
Day: 18, Living animals: 3, plants number: 24, FreeFields: 79, most popular genotype: 1, Average energy: 5, Average life length: 15
Day: 19, Living animals: 2, plants number: 26, FreeFields: 78, most popular genotype: 1, Average energy: 5, Average life length: 16
Day: 20, Living animals: 2, plants number: 28, FreeFields: 76, most popular genotype: 1, Average energy: 3, Average life length: 16
Day: 21, Living animals: 2, plants number: 30, FreeFields: 74, most popular genotype: 1, Average energy: 2, Average life length: 16
Day: 22, Living animals: 2, plants number: 32, FreeFields: 72, most popular genotype: 1, Average energy: 1, Average life length: 16
