Day: 2, Living animals: 5, plants number: 4, FreeFields: 91, most popular genotype: 0, Average energy: 19, Average life length: 0
Day: 2, Living animals: 5, plants number: 4, FreeFields: 91, most popular genotype: 5, Average energy: 19, Average life length: 0
Day: 3, Living animals: 5, plants number: 6, FreeFields: 89, most popular genotype: 5, Average energy: 18, Average life length: 0
Day: 3, Living animals: 6, plants number: 6, FreeFields: 90, most popular genotype: 1, Average energy: 17, Average life length: 0
Day: 4, Living animals: 5, plants number: 8, FreeFields: 87, most popular genotype: 5, Average energy: 17, Average life length: 0
Day: 4, Living animals: 7, plants number: 8, FreeFields: 86, most popular genotype: 1, Average energy: 15, Average life length: 0
Day: 5, Living animals: 5, plants number: 9, FreeFields: 88, most popular genotype: 5, Average energy: 15, Average life length: 0
Day: 5, Living animals: 8, plants number: 10, FreeFields: 82, most popular genotype: 1, Average energy: 13, Average life length: 0
Day: 6, Living animals: 5, plants number: 10, FreeFields: 87, most popular genotype: 5, Average energy: 14, Average life length: 0
Day: 6, Living animals: 9, plants number: 12, FreeFields: 80, most popular genotype: 1, Average energy: 11, Average life length: 0
Day: 7, Living animals: 5, plants number: 9, FreeFields: 89, most popular genotype: 5, Average energy: 14, Average life length: 0
Day: 7, Living animals: 9, plants number: 14, FreeFields: 74, most popular genotype: 1, Average energy: 10, Average life length: 0
Day: 8, Living animals: 5, plants number: 11, FreeFields: 87, most popular genotype: 5, Average energy: 13, Average life length: 0
Day: 8, Living animals: 10, plants number: 15, FreeFields: 74, most popular genotype: 1, Average energy: 8, Average life length: 0
Day: 9, Living animals: 6, plants number: 13, FreeFields: 83, most popular genotype: 1, Average energy: 11, Average life length: 0
Day: 9, Living animals: 11, plants number: 17, FreeFields: 68, most popular genotype: 1, Average energy: 7, Average life length: 0
Day: 10, Living animals: 7, plants number: 15, FreeFields: 84, most popular genotype: 1, Average energy: 10, Average life length: 0
Day: 10, Living animals: 11, plants number: 16, FreeFields: 71, most popular genotype: 1, Average energy: 6, Average life length: 0
Day: 11, Living animals: 11, plants number: 17, FreeFields: 66, most popular genotype: 1, Average energy: 5, Average life length: 0
Day: 11, Living animals: 8, plants number: 15, FreeFields: 82, most popular genotype: 1, Average energy: 8, Average life length: 0
Day: 12, Living animals: 10, plants number: 19, FreeFields: 65, most popular genotype: 1, Average energy: 4, Average life length: 10
Day: 12, Living animals: 9, plants number: 14, FreeFields: 80, most popular genotype: 0, Average energy: 7, Average life length: 0
Day: 13, Living animals: 10, plants number: 17, FreeFields: 72, most popular genotype: 0, Average energy: 5, Average life length: 9
Day: 13, Living animals: 11, plants number: 16, FreeFields: 76, most popular genotype: 0, Average energy: 6, Average life length: 0
Day: 14, Living animals: 9, plants number: 17, FreeFields: 73, most popular genotype: 5, Average energy: 4, Average life length: 10
Day: 14, Living animals: 12, plants number: 17, FreeFields: 74, most popular genotype: 4, Average energy: 5, Average life length: 0
Day: 15, Living animals: 6, plants number: 17, FreeFields: 69, most popular genotype: 0, Average energy: 6, Average life length: 11
Day: 15, Living animals: 14, plants number: 17, FreeFields: 73, most popular genotype: 4, Average energy: 3, Average life length: 0
Day: 16, Living animals: 6, plants number: 17, FreeFields: 75, most popular genotype: 0, Average energy: 5, Average life length: 11
Day: 16, Living animals: 11, plants number: 18, FreeFields: 78, most popular genotype: 4, Average energy: 3, Average life length: 10
Day: 17, Living animals: 10, plants number: 17, FreeFields: 80, most popular genotype: 4, Average energy: 3, Average life length: 9
Day: 17, Living animals: 6, plants number: 18, FreeFields: 70, most popular genotype: 0, Average energy: 4, Average life length: 11
Day: 18, Living animals: 9, plants number: 17, FreeFields: 76, most popular genotype: 4, Average energy: 2, Average life length: 9
Day: 18, Living animals: 6, plants number: 19, FreeFields: 63, most popular genotype: 0, Average energy: 3, Average life length: 11
Day: 19, Living animals: 5, plants number: 19, FreeFields: 67, most popular genotype: 0, Average energy: 3, Average life length: 11
Day: 19, Living animals: 6, plants number: 18, FreeFields: 75, most popular genotype: 4, Average energy: 3, Average life length: 10
Day: 20, Living animals: 6, plants number: 20, FreeFields: 73, most popular genotype: 4, Average energy: 2, Average life length: 10
Day: 20, Living animals: 3, plants number: 20, FreeFields: 70, most popular genotype: 0, Average energy: 4, Average life length: 12
Day: 21, Living animals: 2, plants number: 21, FreeFields: 75, most popular genotype: 4, Average energy: 3, Average life length: 10
Day: 21, Living animals: 2, plants number: 21, FreeFields: 67, most popular genotype: 0, Average energy: 6, Average life length: 12
Day: 22, Living animals: 2, plants number: 22, FreeFields: 77, most popular genotype: 4, Average energy: 3, Average life length: 10
Day: 22, Living animals: 2, plants number: 23, FreeFields: 68, most popular genotype: 0, Average energy: 5, Average life length: 12
Day: 23, Living animals: 2, plants number: 24, FreeFields: 69, most popular genotype: 0, Average energy: 4, Average life length: 12
Day: 23, Living animals: 1, plants number: 24, FreeFields: 76, most popular genotype: 4, Average energy: 2, Average life length: 9
Day: 24, Living animals: 2, plants number: 26, FreeFields: 66, most popular genotype: 0, Average energy: 3, Average life length: 12
Day: 24, Living animals: 1, plants number: 26, FreeFields: 76, most popular genotype: 4, Average energy: 1, Average life length: 9
Day: 25, Living animals: 2, plants number: 27, FreeFields: 68, most popular genotype: 0, Average energy: 3, Average life length: 12
Day: 25, Living animals: 0, plants number: 28, FreeFields: 75, most popular genotype: 0, Average energy: 0, Average life length: 10
Day: 26, Living animals: 2, plants number: 29, FreeFields: 69, most popular genotype: 0, Average energy: 2, Average life length: 12
Day: 27, Living animals: 1, plants number: 30, FreeFields: 69, most popular genotype: 0, Average energy: 3, Average life length: 12
Day: 28, Living animals: 1, plants number: 32, FreeFields: 67, most popular genotype: 0, Average energy: 2, Average life length: 12
Day: 29, Living animals: 1, plants number: 34, FreeFields: 65, most popular genotype: 0, Average energy: 1, Average life length: 12
Day: 30, Living animals: 1, plants number: 35, FreeFields: 65, most popular genotype: 0, Average energy: 1, Average life length: 12
Day: 31, Living animals: 1, plants number: 36, FreeFields: 63, most popular genotype: 0, Average energy: 1, Average life length: 12
Day: 32, Living animals: 0, plants number: 38, FreeFields: 60, most popular genotype: 0, Average energy: 0, Average life length: 13
