Day: 25, Living animals: 17, plants number: 19, FreeFields: 258, most popular genotype: 0, Average energy: 2, Average life length: 12
Day: 25, Living animals: 1, plants number: 27, FreeFields: 80, most popular genotype: 5, Average energy: 3, Average life length: 13
Day: 26, Living animals: 12, plants number: 18, FreeFields: 264, most popular genotype: 2, Average energy: 2, Average life length: 13
Day: 26, Living animals: 1, plants number: 28, FreeFields: 79, most popular genotype: 5, Average energy: 3, Average life length: 13
Day: 26, Living animals: 11, plants number: 18, FreeFields: 265, most popular genotype: 2, Average energy: 2, Average life length: 13
Day: 27, Living animals: 1, plants number: 29, FreeFields: 77, most popular genotype: 5, Average energy: 3, Average life length: 13
Day: 27, Living animals: 8, plants number: 18, FreeFields: 264, most popular genotype: 2, Average energy: 2, Average life length: 14
Day: 28, Living animals: 1, plants number: 30, FreeFields: 76, most popular genotype: 5, Average energy: 3, Average life length: 13
Day: 28, Living animals: 4, plants number: 19, FreeFields: 268, most popular genotype: 2, Average energy: 2, Average life length: 14
Day: 29, Living animals: 1, plants number: 31, FreeFields: 75, most popular genotype: 5, Average energy: 3, Average life length: 13
Day: 29, Living animals: 3, plants number: 20, FreeFields: 267, most popular genotype: 2, Average energy: 1, Average life length: 14
Day: 30, Living animals: 1, plants number: 32, FreeFields: 73, most popular genotype: 5, Average energy: 3, Average life length: 13
Day: 30, Living animals: 1, plants number: 21, FreeFields: 269, most popular genotype: 2, Average energy: 1, Average life length: 15
Day: 31, Living animals: 1, plants number: 33, FreeFields: 72, most popular genotype: 5, Average energy: 3, Average life length: 13
Day: 31, Living animals: 0, plants number: 22, FreeFields: 269, most popular genotype: 0, Average energy: 0, Average life length: 15
Day: 32, Living animals: 1, plants number: 34, FreeFields: 71, most popular genotype: 5, Average energy: 3, Average life length: 13
Day: 33, Living animals: 1, plants number: 35, FreeFields: 71, most popular genotype: 5, Average energy: 3, Average life length: 13
Day: 34, Living animals: 1, plants number: 36, FreeFields: 70, most popular genotype: 5, Average energy: 3, Average life length: 13
Day: 35, Living animals: 1, plants number: 37, FreeFields: 70, most popular genotype: 5, Average energy: 1, Average life length: 13
Day: 36, Living animals: 1, plants number: 38, FreeFields: 68, most popular genotype: 5, Average energy: 1, Average life length: 13
Day: 37, Living animals: 1, plants number: 39, FreeFields: 67, most popular genotype: 5, Average energy: 1, Average life length: 13
Day: 38, Living animals: 1, plants number: 40, FreeFields: 65, most popular genotype: 5, Average energy: 1, Average life length: 13
Day: 39, Living animals: 0, plants number: 42, FreeFields: 62, most popular genotype: 0, Average energy: 0, Average life length: 15
